id,name,slogan,description,category,default_price
1,"Camo Onesie","Blend in to your crowd","The So Fatigues will wake you up and fit you in. This high energy camo will have you blending in to even the wildest surroundings.","Jackets",140
2,"Bright Future Sunglasses","You've got to wear shades","Where you're going you might not need roads, but you definitely need some shades. Give those baby blues a rest and let the future shine bright on these timeless lenses.","Accessories",69
3,"Morning Joggers","Make yourself a morning person","Whether you're a morning person or not.  Whether you're gym bound or not.  Everyone looks good in joggers.","Pants",40
4,"Slacker's Slacks","Comfortable for everything, or nothing","I'll tell you how great they are after I nap for a bit.","Pants",65
5,"Heir Force Ones","A sneaker dynasty","Now where da boxes where I keep mine? You should peep mine, maybe once or twice but never three times. I'm just a sneaker pro, I love Pumas and shell toes, but can't nothin compare to a fresh crispy white pearl","Kicks",99
6,"Pumped Up Kicks","Faster than a just about anything","The Pumped Up serves up crisp court style with a modern look. These shoes show off tennis-whites shades and are constructed with a supple leather upper and a classic rubber cupsole.","Kicks",89
7,"Blues Suede Shoes","2019 Stanley Cup Limited Edition","Touch down in the land of the Delta Blues in the middle of the pouring rain","Dress Shoes",120
8,"YEasy 350","Just jumped over jumpman","These stretchy knit shoes show off asymmetrical lacing and a big sculpted rubber midsole. In a nod to adidas soccer heritage.","Kicks",450
9,"Summer Shoes","A risky call in the spring or fall","Low-top panelled buffed leather and mesh sneakers. Sizing embroidered in black at round toe. Tonal lace-up closure. Pull-loop and rubberized style name at padded tongue. Padded collar. Pull-loop at heel collar. Logo embroidered in black at outer side. Tonal treaded rubber sole. Tonal stitching.","Kicks",59
10,"Infinity Stone","Reality is often disappointing. That is, it was. Now, reality can be whatever I want.","The Infinity Stones are six immensely powerful stone-like objects tied to different aspects of the universe, created by the Cosmic Entities. Each of the stones possesses unique capabilities that have been enhanced and altered by various alien civilizations for millennia.","Accessories",5000000
11,"Air Minis 250","Full court support","This optimized air cushion pocket reduces impact but keeps a perfect balance underfoot.","Basketball Shoes",49
12,"Belle Shirt","Debitis eos est provident ducimus similique saepe quo eos.","Qui nesciunt nesciunt consequuntur. Quia ut incidunt et quam sit rerum tempora. Placeat ipsa facere corporis et et quia repudiandae consequatur consequatur. Temporibus quae sapiente quae sed. Quisquam consequatur soluta.","Shirt",570
13,"Heber Trousers","Voluptates rerum distinctio sit perspiciatis.","Aut quia ipsam aspernatur molestiae voluptatem. Eum esse sit et vero nostrum voluptatem voluptas nostrum pariatur. Deleniti et alias et. Necessitatibus molestiae enim. Odit maiores maxime suscipit nemo eaque.","Trousers",130
14,"Jaeden Suit","Velit officia qui sint ut quis sit asperiores similique.","Asperiores repellat et est. Dolores possimus quisquam laboriosam omnis sequi saepe. Cupiditate officia consequatur eum ipsam saepe ut. Hic fuga magnam et deserunt voluptate consequuntur.","Suit",556
15,"Jerrod Romper","Laborum a ut similique et perferendis qui nobis ipsa.","Exercitationem fugiat illum eos laudantium beatae tempore quod quaerat. Sequi itaque reprehenderit mollitia. Enim beatae occaecati qui culpa eaque commodi natus enim tempora. Vitae minus voluptas dolor molestias rerum quos.","Romper",904
16,"Alexane Sweatpants","Rem esse blanditiis aperiam.","Quae quia odio beatae hic magni. Consequatur ea ipsam eos voluptatem. Ipsum est dolorem consequuntur dolor odio consequatur maiores. Cumque aut dolore nulla fugit id et sapiente sunt in. Laborum natus numquam nam blanditiis recusandae.","Sweatpants",888
17,"Bartholome Tank Top","Ratione non ullam aut perspiciatis enim.","Assumenda inventore incidunt odit architecto. Vel quo voluptatibus ut occaecati aut nihil excepturi ratione. Ad rem a quaerat ut.","Tank Top",398
